customer_id,age,gender,location,income_bracket,total_purchases,avg_purchase_value,purchase_frequency,last_purchase_date,preferred_payment,frequent_categories,premium_product_affinity,brand_loyalty_score,website_visits_30d,avg_session_duration,cart_abandonment_rate,email_engagement_rate,customer_lifetime_value,churn_risk_score,satisfaction_score,promotion_response_rate,discount_sensitivity
CUST000024,18,M,San Antonio,Medium,7,65.68,0.44,2024-01-16,Credit Card,['Electronics'],0.169,0.61,8,2.13,0.214,0.329,537.36,0.198,3.42,0.736,0.393
CUST000025,28,M,Chicago,Medium,6,157.41,1.45,2023-10-23,Bank Transfer,['Beauty'],0.234,0.536,5,2.67,0.254,0.345,1164.98,0.23,3.65,0.333,0.457
CUST000026,36,M,New York,Low,4,85.62,0.25,2024-01-05,Credit Card,['Sports'],0.329,0.374,7,2.13,0.511,0.549,455.09,0.336,4.12,0.871,0.465
CUST000027,21,F,San Diego,Medium,13,108.66,0.31,2023-11-11,PayPal,"['Clothing', 'Books', 'Food']",0.142,0.848,11,2.4,0.109,0.449,1613.89,0.69,4.69,0.627,0.216
CUST000028,39,M,Chicago,Medium,7,230.58,1.05,2023-12-02,Bank Transfer,['Books'],0.096,0.823,7,1.07,0.394,0.605,1769.07,0.278,3.99,0.533,0.736
CUST000029,27,Other,San Diego,Medium,6,65.08,0.7,2023-10-21,Debit Card,"['Clothing', 'Beauty']",0.605,0.722,6,1.24,0.462,0.498,626.71,0.107,4.05,0.48,0.465
CUST000030,31,M,San Diego,Low,6,156.68,0.65,2023-11-04,PayPal,"['Home & Garden', 'Beauty', 'Electronics']",0.132,0.81,20,8.68,0.366,0.474,1064.55,0.103,4.38,0.529,0.66
CUST000031,27,M,Phoenix,Medium,9,65.97,1.67,2023-11-29,Bank Transfer,"['Clothing', 'Sports', 'Home & Garden']",0.174,0.223,16,3.07,0.332,0.412,697.25,0.5,4.21,0.799,0.46
CUST000032,57,F,New York,Low,3,107.29,0.67,2024-01-06,Debit Card,"['Food', 'Home & Garden']",0.166,0.811,5,3.5,0.275,0.333,375.16,0.185,3.66,0.642,0.457
CUST000033,34,F,San Jose,Low,3,147.68,0.86,2024-01-05,Credit Card,['Home & Garden'],0.276,0.711,7,0.88,0.267,0.864,565.16,0.036,3.71,0.768,0.467
CUST000034,22,F,San Antonio,High,3,88.86,0.56,2024-01-09,Credit Card,"['Clothing', 'Electronics', 'Books']",0.446,0.824,7,2.37,0.071,0.455,385.51,0.26,4.28,0.108,0.239
CUST000035,44,F,San Jose,Medium,11,47.56,0.77,2023-11-20,Credit Card,"['Sports', 'Food', 'Books']",0.281,0.762,12,1.67,0.589,0.389,670.45,0.527,4.25,0.525,0.452
CUST000036,20,F,Phoenix,Low,7,75.44,1.48,2023-12-04,Bank Transfer,['Books'],0.486,0.828,23,3.03,0.315,0.856,784.93,0.022,4.1,0.261,0.345
CUST000037,37,M,San Diego,Low,2,40.75,0.61,2023-11-09,Credit Card,['Home & Garden'],0.318,0.673,4,5.76,0.385,0.312,107.37,0.163,3.69,0.163,0.313
CUST000038,18,Other,Dallas,Low,4,139.71,0.96,2023-12-06,Credit Card,"['Electronics', 'Beauty']",0.138,0.363,9,3.94,0.578,0.227,635.98,0.166,4.81,0.06,0.451
CUST000039,19,Other,San Antonio,Low,1,186.52,0.62,2023-11-05,Debit Card,"['Electronics', 'Books', 'Food']",0.212,0.576,2,8.98,0.151,0.126,226.01,0.245,3.6,0.777,0.688
CUST000040,37,F,San Antonio,Low,2,85.61,0.1,2023-12-26,Debit Card,['Sports'],0.233,0.409,9,1.22,0.669,0.47,211.11,0.139,3.95,0.314,0.477
CUST000041,43,M,New York,Low,6,65.66,0.45,2023-10-31,Debit Card,['Home & Garden'],0.397,0.725,9,1.54,0.046,0.448,550.29,0.329,4.7,0.752,0.652
CUST000042,37,F,Houston,Medium,12,131.67,0.54,2023-12-04,Bank Transfer,"['Home & Garden', 'Beauty']",0.056,0.405,7,2.92,0.427,0.426,1668.64,0.233,4.06,0.061,0.544
CUST000043,33,M,Los Angeles,Medium,2,219.5,0.85,2023-12-26,PayPal,"['Food', 'Beauty', 'Home & Garden']",0.398,0.381,2,2.97,0.401,0.303,613.51,0.162,3.97,0.773,0.285
CUST000044,31,M,Los Angeles,Medium,6,143.92,1.28,2023-12-15,Credit Card,['Food'],0.555,0.668,1,5.99,0.008,0.118,1343.03,0.165,4.15,0.239,0.785
CUST000045,18,M,Los Angeles,Medium,4,107.76,0.72,2024-01-02,Credit Card,"['Electronics', 'Food']",0.228,0.492,5,3.34,0.268,0.586,529.27,0.085,3.68,0.595,0.353
CUST000046,26,M,Houston,Low,2,45.87,0.6,2023-11-16,Bank Transfer,"['Clothing', 'Home & Garden', 'Beauty']",0.502,0.362,1,1.7,0.305,0.619,137.8,0.154,3.95,0.478,0.277
CUST000047,29,F,New York,High,5,45.12,1.01,2023-11-28,Credit Card,"['Books', 'Clothing', 'Food']",0.213,0.917,6,7.89,0.439,0.326,273.67,0.02,4.37,0.22,0.764
CUST000048,47,F,Houston,High,2,86.52,0.82,2023-12-17,Bank Transfer,"['Home & Garden', 'Sports', 'Books']",0.08,0.414,16,4.05,0.056,0.838,186.82,0.255,4.47,0.429,0.384
CUST000049,39,F,Los Angeles,High,8,96.1,0.25,2023-12-11,Bank Transfer,"['Clothing', 'Books', 'Home & Garden']",0.212,0.822,10,4.72,0.245,0.378,931.84,0.546,4.8,0.93,0.259
CUST000050,18,M,Phoenix,High,10,80.56,2.13,2023-11-23,Bank Transfer,"['Beauty', 'Sports']",0.563,0.192,14,3.04,0.186,0.277,1258.92,0.432,3.63,0.763,0.59
CUST000051,38,M,Chicago,High,8,71.5,0.64,2023-11-10,PayPal,['Books'],0.403,0.197,1,1.85,0.417,0.236,802.65,0.686,4.66,0.742,0.64
CUST000052,30,M,San Diego,Medium,4,65.37,0.82,2024-01-01,Bank Transfer,"['Food', 'Beauty', 'Books']",0.158,0.463,9,3.99,0.335,0.267,302.9,0.183,4.3,0.462,0.679
CUST000053,26,Other,Houston,Low,10,87.13,0.2,2023-10-24,PayPal,"['Electronics', 'Books', 'Food']",0.052,0.52,5,8.01,0.061,0.108,916.84,0.265,4.54,0.755,0.509
CUST000054,42,M,New York,Medium,4,103.06,1.74,2023-12-10,PayPal,['Sports'],0.098,0.806,7,2.16,0.486,0.094,452.57,0.197,3.33,0.966,0.333
CUST000055,47,F,New York,Medium,7,241.66,0.57,2023-12-08,Credit Card,"['Food', 'Beauty', 'Home & Garden']",0.337,0.292,20,6.17,0.124,0.061,2262.06,0.235,3.62,0.529,0.73
CUST000056,46,F,San Jose,Medium,6,37.66,2.29,2023-12-01,Debit Card,"['Food', 'Clothing', 'Beauty']",0.34,0.715,14,0.91,0.304,0.15,302.73,0.149,4.12,0.938,0.626
CUST000057,24,M,Chicago,Medium,8,132.11,0.79,2023-10-28,PayPal,['Clothing'],0.36,0.827,17,8.87,0.284,0.29,1437.17,0.175,4.35,0.637,0.726
CUST000058,31,F,Dallas,Low,10,73.27,1.22,2023-12-21,PayPal,['Books'],0.413,0.508,5,3.72,0.387,0.109,1035.09,0.34,3.79,0.25,0.462
CUST000059,38,F,San Antonio,Medium,4,62.19,0.61,2023-11-02,Debit Card,"['Electronics', 'Home & Garden', 'Food']",0.027,0.739,1,3.5,0.4,0.25,255.47,0.57,3.81,0.6,0.47
CUST000060,46,F,Los Angeles,High,2,77.81,0.27,2023-11-29,PayPal,['Home & Garden'],0.204,0.479,8,11.23,0.333,0.419,187.29,0.252,3.47,0.666,0.783
CUST000061,29,F,Dallas,Medium,4,106.99,1.1,2024-01-17,Debit Card,"['Clothing', 'Home & Garden']",0.121,0.598,15,8.39,0.303,0.483,479.77,0.267,3.75,0.422,0.819
CUST000062,32,M,San Jose,Medium,4,34.59,1.1,2023-11-29,Credit Card,"['Sports', 'Clothing']",0.21,0.452,12,7.2,0.311,0.785,167.34,0.318,3.81,0.755,0.647
CUST000063,21,M,Los Angeles,Low,5,143.68,0.07,2023-12-30,Bank Transfer,"['Electronics', 'Home & Garden', 'Beauty']",0.272,0.488,8,2.16,0.424,0.437,913.65,0.457,3.81,0.526,0.805
CUST000064,20,F,Chicago,Medium,2,104.98,0.24,2023-11-20,Debit Card,"['Books', 'Food', 'Electronics']",0.167,0.712,7,0.43,0.543,0.349,245.03,0.21,3.55,0.295,0.504
CUST000065,44,F,San Jose,High,14,93.54,1.71,2023-11-11,Bank Transfer,['Food'],0.517,0.841,5,1.44,0.48,0.372,1986.17,0.241,4.96,0.185,0.264
CUST000066,51,M,Los Angeles,Medium,8,75.2,0.57,2023-11-12,Debit Card,['Beauty'],0.154,0.611,12,3.46,0.092,0.468,694.22,0.174,4.51,0.631,0.7
CUST000067,34,F,Chicago,Medium,4,15.7,1.33,2023-12-08,Bank Transfer,"['Sports', 'Clothing', 'Home & Garden']",0.567,0.754,5,3.16,0.523,0.424,98.45,0.221,4.33,0.027,0.572
CUST000068,47,F,Philadelphia,Medium,6,71.58,3.02,2024-01-08,Credit Card,"['Clothing', 'Books', 'Electronics']",0.324,0.801,7,2.21,0.084,0.881,568.58,0.794,4.57,0.311,0.778
CUST000069,39,F,Dallas,Medium,9,84.08,1.15,2023-12-21,PayPal,"['Books', 'Sports']",0.213,0.467,10,1.31,0.316,0.369,917.62,0.321,4.29,0.364,0.236
CUST000070,27,M,Dallas,Low,2,174.09,0.8,2023-12-15,Credit Card,['Electronics'],0.306,0.827,9,1.3,0.413,0.716,454.74,0.421,5.0,0.789,0.502
CUST000071,39,F,San Antonio,Medium,12,90.02,0.45,2023-12-10,PayPal,"['Beauty', 'Sports', 'Books']",0.076,0.326,9,1.58,0.619,0.097,1161.98,0.684,3.6,0.527,0.421
CUST000072,53,F,Chicago,Medium,4,97.69,1.01,2023-10-27,Bank Transfer,"['Sports', 'Clothing', 'Electronics']",0.636,0.736,8,2.97,0.179,0.383,639.29,0.456,2.86,0.398,0.383
CUST000073,34,M,Houston,Medium,8,62.02,1.1,2023-11-23,Bank Transfer,['Clothing'],0.356,0.67,5,7.06,0.465,0.543,672.73,0.328,3.56,0.584,0.417
CUST000074,53,M,Philadelphia,Medium,4,87.51,0.87,2023-11-27,PayPal,['Food'],0.304,0.414,12,6.3,0.525,0.484,456.6,0.222,3.06,0.773,0.664
CUST000075,18,Other,Phoenix,High,5,43.04,1.37,2024-01-15,Debit Card,"['Food', 'Beauty', 'Books']",0.478,0.795,2,0.67,0.17,0.21,318.03,0.261,3.38,0.398,0.518
CUST000076,44,M,Los Angeles,Low,15,81.13,0.29,2023-12-26,Credit Card,"['Beauty', 'Sports', 'Books']",0.448,0.612,13,1.02,0.085,0.27,1762.8,0.417,3.69,0.501,0.69
CUST000077,36,F,Philadelphia,High,6,127.39,0.88,2024-01-01,Debit Card,"['Electronics', 'Home & Garden', 'Beauty']",0.368,0.918,3,4.22,0.497,0.537,1045.44,0.238,3.93,0.61,0.387
CUST000078,31,F,Chicago,Low,2,86.52,0.8,2023-11-08,Bank Transfer,['Beauty'],0.24,0.654,1,4.18,0.487,0.454,214.54,0.439,4.53,0.729,0.469
CUST000079,36,M,San Diego,Medium,7,84.15,0.51,2023-12-23,Credit Card,"['Electronics', 'Food', 'Clothing']",0.549,0.284,4,5.67,0.389,0.323,912.48,0.493,4.84,0.744,0.507
CUST000080,18,F,Los Angeles,Low,5,126.63,1.08,2023-12-31,Credit Card,"['Books', 'Clothing', 'Sports']",0.155,0.922,4,1.46,0.167,0.927,731.27,0.289,4.15,0.836,0.554
CUST000081,32,M,New York,Medium,14,126.95,0.26,2023-12-03,Debit Card,"['Clothing', 'Food', 'Books']",0.088,0.659,5,6.63,0.686,0.448,1934.54,0.295,3.39,0.324,0.199
CUST000082,39,F,Dallas,Medium,3,38.4,0.43,2023-11-09,PayPal,"['Sports', 'Home & Garden']",0.362,0.42,10,0.52,0.439,0.052,156.86,0.213,3.75,0.622,0.228
CUST000083,52,M,Chicago,Low,4,135.52,0.63,2023-12-18,PayPal,"['Beauty', 'Clothing']",0.566,0.859,2,0.42,0.348,0.361,849.05,0.381,3.85,0.579,0.691
CUST000084,28,F,New York,Medium,7,171.15,0.7,2024-01-09,Credit Card,['Home & Garden'],0.087,0.547,8,3.74,0.127,0.282,1302.79,0.44,3.79,0.449,0.799
CUST000085,25,M,San Antonio,High,7,73.71,1.12,2023-12-14,PayPal,"['Food', 'Books', 'Beauty']",0.14,0.542,2,2.06,0.02,0.581,587.98,0.186,3.33,0.181,0.649
CUST000086,28,M,San Jose,Low,7,76.85,1.21,2023-10-29,Bank Transfer,"['Sports', 'Electronics', 'Home & Garden']",0.566,0.602,1,2.49,0.458,0.504,842.27,0.297,4.64,0.582,0.606
CUST000087,45,Other,Phoenix,Medium,2,88.52,0.41,2023-11-19,Debit Card,['Home & Garden'],0.11,0.603,5,2.94,0.053,0.76,196.48,0.404,3.23,0.637,0.233
CUST000088,38,M,Phoenix,Medium,4,56.37,2.27,2023-11-03,Debit Card,['Sports'],0.519,0.81,4,1.24,0.254,0.218,342.49,0.354,3.73,0.456,0.547
CUST000089,28,F,New York,Medium,2,156.56,1.07,2023-11-16,Debit Card,['Food'],0.439,0.296,2,2.69,0.318,0.478,450.62,0.326,4.07,0.318,0.677
CUST000090,41,M,Dallas,Low,4,184.36,2.73,2023-11-27,Credit Card,"['Electronics', 'Beauty', 'Books']",0.203,0.573,15,0.98,0.181,0.502,887.25,0.291,4.09,0.565,0.136
CUST000091,36,F,San Antonio,Low,3,142.16,1.99,2023-12-01,Credit Card,"['Beauty', 'Home & Garden']",0.266,0.335,7,2.13,0.211,0.264,540.1,0.785,3.8,0.77,0.502
CUST000092,46,M,San Diego,Low,6,38.22,0.52,2023-11-18,PayPal,['Clothing'],0.397,0.429,4,2.11,0.42,0.765,320.32,0.195,4.15,0.334,0.646
CUST000093,26,Other,Dallas,Low,6,67.69,0.26,2023-12-25,Debit Card,"['Electronics', 'Food', 'Books']",0.169,0.815,2,3.92,0.325,0.482,474.79,0.085,3.47,0.278,0.182
CUST000094,31,M,Philadelphia,Low,12,74.6,0.2,2023-11-05,Bank Transfer,['Food'],0.161,0.704,3,6.88,0.231,0.285,1039.13,0.306,3.95,0.232,0.339
CUST000095,30,M,Phoenix,Medium,5,83.69,0.08,2023-11-21,Bank Transfer,"['Beauty', 'Food', 'Sports']",0.436,0.35,11,4.05,0.192,0.717,600.73,0.537,3.35,0.317,0.547
CUST000096,18,M,Philadelphia,High,4,100.58,0.97,2023-11-15,Debit Card,['Books'],0.512,0.373,7,6.72,0.547,0.488,608.39,0.312,3.56,0.856,0.459
CUST000097,38,M,Los Angeles,High,4,92.04,0.49,2023-12-19,Credit Card,"['Clothing', 'Books', 'Beauty']",0.28,0.729,9,0.38,0.067,0.204,471.23,0.456,4.49,0.22,0.327
CUST000098,38,F,Houston,Medium,7,92.36,1.26,2023-12-20,Credit Card,['Food'],0.112,0.568,6,6.93,0.176,0.388,718.65,0.289,3.88,0.446,0.338
CUST000099,35,M,Chicago,Low,9,142.96,0.51,2024-01-08,Credit Card,"['Food', 'Books']",0.407,0.863,13,4.77,0.041,0.235,1810.41,0.265,3.91,0.887,0.824
CUST000100,32,F,San Antonio,Low,8,119.82,0.41,2023-12-10,Bank Transfer,['Electronics'],0.113,0.684,11,2.08,0.33,0.205,1067.19,0.209,3.75,0.166,0.333
CUST000101,18,M,Dallas,Medium,7,87.07,1.21,2023-11-24,Debit Card,['Food'],0.319,0.787,14,1.25,0.384,0.325,803.86,0.224,3.66,0.115,0.514
CUST000102,29,M,Phoenix,Low,4,129.48,3.19,2023-12-21,Bank Transfer,"['Sports', 'Electronics']",0.465,0.459,3,0.79,0.639,0.131,758.65,0.329,4.01,0.521,0.651
CUST000103,30,F,Philadelphia,Medium,2,103.57,1.96,2023-12-31,Debit Card,['Clothing'],0.306,0.635,7,1.47,0.332,0.696,270.63,0.631,5.0,0.537,0.43
CUST000104,25,F,San Jose,Medium,2,130.96,1.22,2023-12-08,Bank Transfer,"['Home & Garden', 'Food']",0.368,0.645,4,2.45,0.311,0.027,358.41,0.552,3.29,0.647,0.444
CUST000105,33,M,Los Angeles,Medium,6,173.41,1.83,2023-10-29,Bank Transfer,"['Electronics', 'Books', 'Beauty']",0.117,0.633,7,7.04,0.296,0.45,1162.42,0.252,3.51,0.236,0.298
CUST000106,39,M,Chicago,Medium,11,151.25,1.13,2023-11-04,PayPal,"['Electronics', 'Sports']",0.288,0.641,10,0.49,0.136,0.517,2142.49,0.282,3.53,0.169,0.389
CUST000107,57,M,Chicago,High,9,52.14,0.07,2023-11-14,Bank Transfer,"['Home & Garden', 'Books']",0.552,0.698,5,2.8,0.268,0.617,728.3,0.213,2.89,0.759,0.64
CUST000108,37,F,Dallas,Medium,11,90.55,1.38,2023-10-29,Debit Card,"['Sports', 'Beauty', 'Electronics']",0.171,0.542,0,0.81,0.725,0.579,1166.55,0.211,3.94,0.224,0.609
CUST000109,38,F,San Antonio,Medium,5,114.07,1.19,2023-12-03,Bank Transfer,"['Sports', 'Books']",0.419,0.472,20,1.41,0.384,0.771,809.13,0.201,3.89,0.894,0.458
CUST000110,34,M,San Diego,High,9,47.12,1.58,2023-11-19,PayPal,"['Electronics', 'Food']",0.346,0.522,10,2.73,0.475,0.418,570.83,0.325,3.68,0.313,0.607
CUST000111,18,F,San Jose,High,6,111.01,0.48,2024-01-09,PayPal,"['Books', 'Electronics', 'Food']",0.343,0.57,19,0.64,0.418,0.391,894.37,0.028,4.32,0.487,0.489
CUST000112,34,F,Dallas,Medium,4,114.38,1.75,2023-12-04,Debit Card,['Sports'],0.2,0.663,9,10.01,0.678,0.277,548.95,0.043,3.77,0.71,0.642
CUST000113,35,F,Philadelphia,Medium,10,49.68,0.29,2023-11-19,PayPal,['Sports'],0.214,0.839,10,3.74,0.418,0.208,603.07,0.321,3.91,0.544,0.282
CUST000114,64,F,Houston,Medium,7,88.18,0.92,2023-12-21,PayPal,"['Books', 'Beauty']",0.37,0.75,3,3.81,0.082,0.41,845.74,0.43,4.08,0.486,0.684
CUST000115,32,M,New York,High,9,109.4,0.81,2024-01-15,Credit Card,['Food'],0.27,0.879,8,3.3,0.423,0.514,1250.21,0.068,3.82,0.031,0.507
CUST000116,38,M,San Diego,High,2,171.76,0.04,2023-11-28,Debit Card,['Books'],0.19,0.34,3,5.54,0.406,0.46,408.76,0.258,4.85,0.41,0.79
CUST000117,34,M,San Antonio,Low,9,93.44,0.53,2024-01-10,PayPal,"['Sports', 'Home & Garden']",0.144,0.579,16,4.0,0.322,0.107,962.15,0.075,3.8,0.563,0.322
CUST000118,20,M,Los Angeles,Medium,8,51.8,1.18,2023-11-09,PayPal,"['Books', 'Food', 'Home & Garden']",0.45,0.682,9,5.51,0.29,0.341,601.07,0.628,4.33,0.51,0.585
CUST000119,48,F,San Diego,Medium,7,48.15,0.55,2023-11-20,PayPal,['Electronics'],0.575,0.72,3,3.31,0.13,0.434,531.0,0.552,3.96,0.528,0.334
CUST000120,44,F,Phoenix,Medium,4,77.02,2.14,2023-11-18,Debit Card,"['Beauty', 'Home & Garden']",0.018,0.361,4,3.91,0.172,0.244,313.77,0.394,3.99,0.88,0.315
CUST000121,44,M,San Antonio,Low,9,109.99,0.97,2023-11-21,Credit Card,"['Sports', 'Books', 'Food']",0.047,0.508,14,1.55,0.323,0.65,1035.95,0.295,4.44,0.278,0.668
CUST000122,24,M,Houston,High,6,119.53,0.67,2023-11-09,Bank Transfer,['Beauty'],0.242,0.303,11,5.42,0.378,0.644,890.98,0.47,3.84,0.398,0.511
CUST000123,51,M,Phoenix,Medium,1,53.67,1.76,2024-01-06,Credit Card,"['Sports', 'Food', 'Electronics']",0.753,0.77,3,4.16,0.469,0.643,94.11,0.118,3.97,0.385,0.766
CUST000124,18,F,San Diego,High,5,113.09,0.59,2024-01-09,Debit Card,"['Sports', 'Beauty']",0.278,0.798,2,5.49,0.396,0.301,722.4,0.201,4.12,0.265,0.52
CUST000125,42,M,New York,High,2,30.97,0.31,2023-11-30,Debit Card,"['Home & Garden', 'Sports', 'Electronics']",0.165,0.225,3,1.51,0.336,0.478,72.18,0.333,3.7,0.308,0.391
CUST000126,61,F,New York,Medium,6,72.45,1.25,2023-10-27,Debit Card,"['Books', 'Clothing', 'Home & Garden']",0.4,0.553,5,3.03,0.224,0.38,608.42,0.104,4.25,0.842,0.393
CUST000127,23,M,Houston,Medium,1,111.94,0.26,2024-01-01,Bank Transfer,"['Food', 'Electronics']",0.03,0.858,6,7.98,0.39,0.086,115.29,0.061,4.75,0.568,0.743
CUST000128,28,M,Chicago,Medium,2,154.1,0.55,2023-11-25,Debit Card,['Electronics'],0.046,0.562,7,2.04,0.143,0.207,322.29,0.061,3.57,0.742,0.416
CUST000129,36,Other,San Jose,Low,7,43.89,0.85,2023-12-05,Credit Card,['Electronics'],0.275,0.934,7,5.79,0.298,0.492,391.86,0.627,3.68,0.665,0.511
CUST000130,28,Other,Los Angeles,Medium,7,106.06,0.66,2023-12-17,PayPal,"['Clothing', 'Sports', 'Beauty']",0.42,0.161,9,4.32,0.245,0.382,1054.21,0.37,3.48,0.636,0.353
CUST000131,18,M,Chicago,Low,4,81.11,4.84,2023-12-14,PayPal,"['Home & Garden', 'Books', 'Electronics']",0.475,0.571,6,2.67,0.609,0.548,478.59,0.121,4.9,0.83,0.574
CUST000132,35,F,New York,Medium,8,38.82,1.14,2023-11-01,Debit Card,"['Books', 'Food', 'Beauty']",0.509,0.331,9,4.25,0.513,0.159,468.72,0.242,4.3,0.374,0.867
CUST000133,22,F,New York,Low,2,47.49,0.75,2023-11-30,Debit Card,"['Beauty', 'Home & Garden', 'Sports']",0.25,0.829,5,7.82,0.117,0.382,118.74,0.213,3.36,0.686,0.487
CUST000134,40,F,Philadelphia,Low,8,103.67,0.5,2023-11-25,Bank Transfer,['Food'],0.62,0.783,8,1.03,0.461,0.467,1343.83,0.707,3.25,0.287,0.292
CUST000135,23,M,Phoenix,Low,5,195.8,1.07,2024-01-02,PayPal,"['Clothing', 'Electronics']",0.411,0.513,7,3.33,0.45,0.551,1380.9,0.119,4.32,0.479,0.345
CUST000136,53,F,San Diego,Low,10,94.55,1.81,2023-10-25,Bank Transfer,"['Food', 'Home & Garden']",0.241,0.399,5,5.17,0.304,0.594,1173.86,0.342,5.0,0.853,0.445
CUST000137,25,F,Los Angeles,Medium,4,270.81,0.17,2024-01-06,Bank Transfer,"['Books', 'Food']",0.479,0.502,4,11.68,0.743,0.345,1601.71,0.409,3.97,0.302,0.548
CUST000138,31,F,Houston,Medium,3,124.54,1.05,2023-10-22,Bank Transfer,"['Electronics', 'Food', 'Home & Garden']",0.285,0.733,4,1.18,0.33,0.288,480.14,0.383,3.26,0.571,0.742
CUST000139,44,M,San Diego,Medium,7,64.44,0.72,2024-01-10,Bank Transfer,"['Beauty', 'Clothing', 'Home & Garden']",0.21,0.854,13,1.85,0.837,0.102,545.59,0.042,3.18,0.301,0.537
